осот
phaseolus
styphnolobium
phyllostachys
момордик
vulpina
безвременник
смородина
taitensis
ruellia
дубоизий
montanoa
fallopia
вербена
окопник
анамирт
пастуший
senna
хагений
бузина
pallidiflora
clerodendrum
белозор
бадьян
ochracea
квисквалис
nepenthes
фиалка
гнездовка
salutaris
репа
двулепестник
терминалия
щитовник
melanthera
бутея
диптерикс
эхинацея
leonurus
пандан
каскар
bletilla
santalum
таволга
ластовень
advena
hler
белладонна
вакциниум
слива
ruta
сантал
scammonia
строфант
овес
психотрие
solanum
альпиния
nana
ферула
jacaranda
коммифора
белена
многорядник
cissus
asphodeloides
эпимедиум
matudae
джамболан
эвгенольный
pelargonium
фенхель
женьшень
барвинок
glutinosa
vitex
трихозант
ананас
phyllanthus
ревень
poeppigiana
дилление
токсикодендрон
crassifolium
аир
аморфофаллус
чайная
wilfordii
бетель
quercus
желтушник
чин
клюква
lactuca
сансевиерия
лилия
orientalis
kopsia
scleria
pseudocarpidium
балиоспермум
арония
подснежник
первоцвет
ribes
ромашка
diversifolia
elatostema
multinervia
sisyrinchium
чернушка
харонг
орех
aganosma
costus
onites
норичник
ranunculus
стиракс
катарантус
аденантер
чай
drynaria
муррайя
atropa
japonica
дербенник
абиу
speciosa
алтей
auriculata
череда
ликоподиелла
veratrum
астильб
купырь
квиллайя
авран
sibiricus
angustata
циссус
pavonis
floridanum
бородавник
гарпагофитум
календула
wallichiana
ugandensis
лунник
плектрантус
lagopus
кунжут
longifolia
trifolia
цикорий
elephantopus
чилибуха
паслен
incana
graveolens
javanica
молочай
золототысячник
костенец
jasminum
настурция
непентес
росянка
базилик
centifolia
triclisia
ипекакуана
pereskia
mitchella
калея
nutkana
гладыш
кресс-салат
шпороцветник
гашиш
тунг
вьюнок
бразилиопунция
пикульник
вербейник
посконник
pinnata
zebrina
зимолюбка
atriplicifolia
ptelea
teucrium
рамбутан
калина
глориоза
aspera
пупавка
бамбуковый
pimenta
лобелия
дуб
белокопытник
мелколепестник
aphanes
sideritis
фирмиан
pterodon
хвощ
печеночница
калопанакс
сосна
лигустикум
sisymbrium
подмаренник
гилление
даная
tabernaemontana
леспедец
стальник
ксимение
jasminoides
морозник
colebrookianum
агатосм
rheum
тимьян
черника
paniculatum
колбасный
борщевик
блюметь
акантофеникс
plantago
маммея
boschiana
купена
багульник
ослинник
грушанка
четочник
populus
griffonia
индигофер
кирказон
caudatus
земляника
сангвинарий
имбирь
microphyllum
померанец
подлесник
амми
aristatus
cuspidatum
chalepensis
перец
verticillata
плосковеточник
клещевина
верблюжий
пилокарпус
ипомея
tomentosa
лавр
axillaris
pseudolanuginosus
melaleuca
trema
чемерица
мелисса
адокс
кникус
тысячелистник
йохимба
крат
гамбир
carolinense
trachyspermum
воробейник
cordifolia
володушка
zeylanicus
scaber
форзиция
spenceria
scrophularia
пистия
turnera
repens
kalimeris
tamarix
проломник
officinalis
лютик
щавель
хмель
microsorum
кайюпутовой
saururus
иссоп
опунция
липа
маллотус
шиповник
понцирус
elongata
гельземье
гарциния
канелловый
олива
symplocarpus
obvallata
финик
патриния
кубышка
герань
дифазиаструм
эвриком
fritillaria
italicum
officinale
millettia
ежевика
селагинелла
petiveria
агава
аралия
thymus
hermannioides
crataegifolius
мандрагора
болиголов
подорожник
персей
мелия
водяника
rhus
warburgia
grandis
ястребиночка
ptychopetalum
сальвадор
заманиха
arum
гуарана
пальма
pediomelum
чиа
orthosiphon
мордовник
горлянка
клопогон
obtusifolia
виллугбейа
alhagi
сафлор
сенна
очиток
брусника
самосейка
змеевик
кава
гваякум
нивяник
lanceolatum
dissitiflora
прострел
бархат
viridis
гинкго
quinquefolia
tomentella
айва
манжетка
мать-и-мачеха
голаррен
чесночница
волчеягодник
шафран
trichopus
virosa
ipomoea
смирновий
куанье
сильфия
хризантема
спаржа
кувшинка
glabra
ethrog
тник
leucas
желтокорень
комбретум
хохлатка
осока
чистяк
глауциум
кориандр
гнетум
страстоцвет
мак
brickellia
шпажник
nasturtium
ocimum
eclipta
пырей
lewisii
горец
longipedunculata
scorodonia
кукуруза
tenuiflora
cymosa
echinopsis
золотарник
клейнховия
якорец
moranensis
алоэ
подъельник
пастернак
камптотека
копытень
брюква
прангос
хлорант
stemona
сердечник
ялапа
сирень
atractylodes
хинный
ясень
leptadenia
сфагнум
псевдоакация
bataua
амомум
принсепия
emarginatus
саркопотериум
microphylla
маслина
клитория
bulbosus
медуница
ятеориза
морковь
арника
шалфей
расторопша
fruticosum
красивоплодник
сабадилла
serriola
кливия
aristolochiifolia
africana
кермек
наперстянка
gentianella
opuntia
таро
arvensis
физостигма
smilax
bracteata
potentilla
integrifolia
опиум
тамаринд
ятроф
эстрагон
grandiflorus
sambucus
укроп
бук
kirilowii
artemisia
звездчатка
горечавка
splendens
сабельник
pinckneya
trichilia
манго
hebanthe
душевик
кодонопсис
воаканг
nuphar
кровохлебка
douglasiana
ажгон
коровяк
рябчик
spiraea
thaumatococcus
куркасы
дербянка
каштан
multiflora
гетероптерис
цистанхе
чечевица
perovskia
bruguiera
cyclosorus
скандикс
grandiflorum
крушина
ваниль
всероссийский
капуста
wikstroemia
pachycarpa
ятрышник
бутень
дягиль
pseudostellaria
гусиный
гиацинт
вернония
tzumu
ritensis
секуринега
кервель
ламинария
кротон
тауматин
прозопис
brugmansia
пятилистник
лотос
meriandra
japonicus
anacardium
куркума
артишок
смолевка
trichosanthes
центелла
баранец
tetraphylla
дымянка
элеутерококк
milii
чеснок
sphaeralcea
гаультерия
sassafras
барбарис
можжевельник
монард
козелец
кочедыжник
domingensis
парнолистник
лакрица
ужовник
lycopodium
тернер
rubus
мыльный
echinops
васаби
indica
кадило
сыть
gynura
callicarpa
облепиха
сассафрас
калебасовый
шандр
табебуйя
incisa
аспидосперм
зверобой
конопля
аморф
софора
пажитник
жакаранд
будра
фрайнетто
flueggea
tripterygium
verrucosa
лаконос
вяжечка
latifolia
peperomia
albidum
crateva
живучка
rosa
василистник
хрен
розелла
язвенник
каланхоэ
rehmannia
richeria
пенстемон
голокучник
очный
переступень
кукубха
анноновый
башмачок
tithonia
стефания
дерево
рок
pellucida
цимбопогон
каланхое
carinata
polypodium
корица
горечавочка
эрв
chloranthus
диоскорея
камнеломка
акмелла
pistacia
undulata
раувольфия
лопух
peruviana
fragrans
rotunda
ломонос
virectaria
обвойник
кассия
шлемник
беквичия
родиола
бедренец
lateriflora
cavanillesii
пижма
жеруха
villosa
rhynchostylis
термопсис
сельдерей
urtica
гамамелис
боб
platycodon
бетелевый
десмодиум
репешок
горчица
вишня
durata
бурачок
хвойник
citrus
trachelospermum
illicium
голубика
сезувиум
nigra
мандарин
umbellata
emarginata
крапива
махорка
caudata
dianthera
мукун
lycium
аистник
дудник
mimosifolia
cernuus
калужница
пустырник
гледичия
дурнишник
pseudocaryophyllus
истод
saussurea
pubescens
mahonia
ясенец
олеандр
лапчатка
подофилл
lagerstroemia
cassytha
челнобородник
лен
мыльнянка
стевий
echinatus
паприка
арбуз
taxus
кондуранго
пролесник
горошек
vigna
kadsura
гармала
малина
pseudowintera
редька
zhumeria
infectoria
борец
punctatum
черемуха
гибискус
lippia
миндаль
турбиникарпус
кат
campechianum
гравилат
физалис
одуванчик
asiatica
очанка
typha
stipularis
pergularia
зизифус
mimulus
солодка
флебодиум
чернокорень
дескурайний
бовиэя
лимонник
ель
aletris
гваяковый
regelii
sieboldii
меластом
эвкалипт
драцена
иберис
черемша
eschscholzia
халикакаб
терн
euphorbia
осбекия
красавка
ornithogalum
боярышник
